GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab,default,SentenceConverter,0,133,0,10,0,21,0,8,0,3
lab,default,Main,21,0,0,0,6,0,2,0,2,0
